fatporahora 31.01

vd_dtgerencial	dds	dia	hora	qtd	valor
2025-07-31	5	Thursday	17:00	7	=10837/100
2025-07-31	5	Thursday	18:00	53	=78904/100
2025-07-31	5	Thursday	19:00	311	=485702/100
2025-07-31	5	Thursday	20:00	=31185/100	=309189/100
2025-07-31	5	Thursday	21:00	=38435/100	=520005/100
2025-07-31	5	Thursday	22:00	271	=228428/100
2025-07-31	5	Thursday	23:00	153	=140917/100
2025-07-31	5	Thursday	24:00	83	=40971/100
2025-07-31	5	Thursday	25:00	7	=1395/100

analítico 31.01

vd_mesadesc	vd_localizacao	itm	trn	trn_desc	prefixo	tipo	tipovenda	ano	mes	trn_dtgerencial	usr_lancou	prd	prd_desc	grp_desc	loc_desc	qtd	desconto	valorfinal	custo	itm_obs	comandaorigem	itemorigem
X Pedro		1	153			venda integral		2025	2025-07	2025-07-31	Nayara	106	Guaraná Zero Lata	Bebidas Não Alcoólicas	Bar	1		=795/100	=2055/1000	Copo com gelo|Laranja		
X simao		2	153			com desconto		2025	2025-07	2025-07-31	Simão	222	Soda Limonada	Bebidas Não Alcoólicas	Bar	1	=239/100	=556/100	=261/100			
Insumo		1	153			Insumo	Interna	2025	2025-07	2025-07-31	Simão	451	[IN] Ref. Soda Limonada 350ml LT	Insumos		1			=261/100	v49808.vi2(p222).pi1(p451)	X simao	Soda Limonada
Insumo		2	153			Insumo	Interna	2025	2025-07	2025-07-31	Nayara	518	[IN] Whisky Chivas 12 anos 1L	Insumos		1			=1159/10	v49810.vi1(p145).pi1(p518)	0508	Dose Whisky Chivas 12 Anos
Insumo		3	153			Insumo	Interna	2025	2025-07	2025-07-31	Simão	454	[IN] Original 300ml	Insumos		6			=161304/10000	v49811.vi2(p239).pi1(p454)	0509	[HH] Baldinho 6 Original 300mL
Insumo		4	153			Insumo	Interna	2025	2025-07	2025-07-31	Pedro Henrique 	466	[IN] Original 600ml	Insumos		1			=69753/10000	v49810.vi3(p109).pi1(p466)	0508	Original 600ml
Insumo		5	153			Insumo	Interna	2025	2025-07	2025-07-31	Pedro Henrique 	441	[IN] Spaten 600ml	Insumos		1			=62336/10000	v49816.vi1(p121).pi1(p441)	0514	Spaten 600ml
Insumo		6	153			Insumo	Interna	2025	2025-07	2025-07-31	Kamilla	447	[IN] Água com gás 500ml	Insumos		1			=12017/10000	v49819.vi2(p85).pi1(p447)	0516	Água com Gás 500ml
Insumo		7	153			Insumo	Interna	2025	2025-07	2025-07-31	Kamilla	453	[IN] Corona Extra 600ml	Insumos		1			9	v49819.vi1(p219).pi1(p453)	0516	Corona 600mL
Insumo		8	153			Insumo	Interna	2025	2025-07	2025-07-31	Pedro Henrique 	454	[IN] Original 300ml	Insumos		6			=161304/10000	v49811.vi4(p239).pi1(p454)	0509	[HH] Baldinho 6 Original 300mL
Insumo		9	153			Insumo	Interna	2025	2025-07	2025-07-31	Kamilla	441	[IN] Spaten 600ml	Insumos		4			=249344/10000	v49825.vi1(p299).pi1(p441)	0521	[HH] Baldinho Spaten 4 .Un
Insumo		10	153			Insumo	Interna	2025	2025-07	2025-07-31	Pedro Henrique 	441	[IN] Spaten 600ml	Insumos		1			=62336/10000	v49816.vi2(p121).pi1(p441)	0514	Spaten 600ml
Insumo		11	153			Insumo	Interna	2025	2025-07	2025-07-31	Pedro Henrique 	441	[IN] Spaten 600ml	Insumos		1			=62336/10000	v49831.vi1(p121).pi1(p441)	0527	Spaten 600ml
Insumo		12	153			Insumo	Interna	2025	2025-07	2025-07-31	Matheus A	430	[IN] Frango a Passarinho Kg	Insumos		1			=15084/1000	v49811.vi5(p286).pi1(p430)	0509	[HH] Frango a Passarinho
Insumo		13	153			Insumo	Interna	2025	2025-07	2025-07-31	Pedro Henrique 	447	[IN] Água com gás 500ml	Insumos		1			=12017/10000	v49836.vi1(p85).pi1(p447)	0530	Água com Gás 500ml
Insumo		14	153			Insumo	Interna	2025	2025-07	2025-07-31	Matheus A	441	[IN] Spaten 600ml	Insumos		4			=249344/10000	v49820.vi4(p319).pi1(p441)	0517	Baldinho Spaten 4 Un. 600ml
Insumo		15	153			Insumo	Interna	2025	2025-07	2025-07-31	Nayara	447	[IN] Água com gás 500ml	Insumos		1			=12017/10000	v49844.vi1(p85).pi1(p447)	0536	Água com Gás 500ml
Insumo		16	153			Insumo	Interna	2025	2025-07	2025-07-31	Simão	463	[IN] Corona Zero 330ml LN	Insumos		1			=58296/10000	v49846.vi2(p141).pi1(p463)	0538	Corona Zero 330ml
Insumo		17	153			Insumo	Interna	2025	2025-07	2025-07-31	Nayara	452	[IN] Stella Artois Pure Gold 330ml LN	Insumos		6			=219882/10000	v49814.vi4(p122).pi1(p452)	0511	Stella Artois 330ml Pure Gold
Insumo		18	153			Insumo	Interna	2025	2025-07	2025-07-31	Pedro Henrique 	454	[IN] Original 300ml	Insumos		6			=161304/10000	v49821.vi3(p239).pi1(p454)	0518	
Insumo		19	153			Insumo	Interna	2025	2025-07	2025-07-31	Igor	454	[IN] Original 300ml	Insumos		6			=161304/10000	v49853.vi1(p239).pi1(p454)	0544	[HH] Baldinho 6 Original 300mL
Insumo		20	153			Insumo	Interna	2025	2025-07	2025-07-31	Marla	448	[IN] Água sem gás 500ml	Insumos		15			=16563/1000	v49855.vi1(p381).pi1(p448)	X - Banda Lado a lado	[Banda] Água sem gás
Insumo		21	153			Insumo	Interna	2025	2025-07	2025-07-31	Francisco	441	[IN] Spaten 600ml	Insumos		4			=249344/10000	v49851.vi1(p319).pi1(p441)	0542	Baldinho Spaten 4 Un. 600ml
Insumo		22	153			Insumo	Interna	2025	2025-07	2025-07-31	Francisco	441	[IN] Spaten 600ml	Insumos		4			=249344/10000	v49852.vi1(p319).pi1(p441)	0543	Baldinho Spaten 4 Un. 600ml
Insumo		23	153			Insumo	Interna	2025	2025-07	2025-07-31	Pedro Henrique 	441	[IN] Spaten 600ml	Insumos		1			=62336/10000	v49816.vi3(p121).pi1(p441)	0514	Spaten 600ml
