Data;Dia da semana;Semana;Evento;Artista;Gênero;OBS
01/02/2025;SÁBADO;5;Soft Open;;DJ;
04/02/2025;TERÇA;6;Soft Open;;DJ;
05/02/2025;QUARTA;6;Soft Open;Breno Alves;Samba;
06/02/2025;QUINTA;6;Soft Open;DJ Umiranda;DJ;
07/02/2025;SEXTA;6;Soft Open;;Samba;
08/02/2025;SÁBADO;6;Soft Open;;DJ;
11/02/2025;TERÇA;7;Soft Open;;DJ;
12/02/2025;QUARTA;7;Quarta de Bamba;Breno Alves;Samba;
13/02/2025;QUINTA;7;Black music;;DJ;
14/02/2025;SEXTA;7;Samba das Dez;;Samba;
15/02/2025;SÁBADO;7;DJs - Hugo drop + convidados (DJ);DJ Hugo Drop;DJ;
16/02/2025;DOMINGO;7;Pagode do Ordi;12 por 8;Pagode;
18/02/2025;TERÇA;8;Caramelo Jazz Night;;Jazz;
19/02/2025;QUARTA;8;Quarta de Bamba;Breno Alves;Samba;
20/02/2025;QUINTA;8;Discolate;;DJ;
21/02/2025;SEXTA;8;Pagode Vira-lata;;Pagode;
22/02/2025;SÁBADO;8;MSN;;DJ;
23/02/2025;DOMINGO;8;Braslidades;;DJ;
25/02/2025;TERÇA;9;Caramelo Jazz Night;;Jazz;
26/02/2025;QUARTA;9;Quarta de Bamba;Breno Alves;Samba;
27/02/2025;QUINTA;9;Discolate;;DJ;
28/02/2025;SEXTA;9;Samba das Dez;;Samba;
01/03/2025;SÁBADO;9;MSN;DJ Umiranda;DJ;Carnaval
02/03/2025;DOMINGO;9;Pagode Vira-lata;12 por 8;Pagode;Carnaval
03/03/2025;SEGUNDA;10;Macetada Caramelo;;DJ;Carnaval
04/03/2025;TERÇA;10;Volto pro Eixo;;DJ;Carnaval
06/03/2025;QUINTA;10;Discolate;DJ Hugo Drop;DJ;
07/03/2025;SEXTA;10;Pagode Vira-Lata;Gigi;Pagode;
08/03/2025;SÁBADO;10;Elas cantam o Brasil;Lithie;DJ;
09/03/2025;DOMINGO;10;Algo simples;;DJ;
11/03/2025;TERÇA;11;Caramelo Jazz Night;;Jazz;
12/03/2025;QUARTA;11;Quarta de Bamba;Breno Alves;Samba;
13/03/2025;QUINTA;11;Discolate;DJ Hugo Drop;;
14/03/2025;SEXTA;11;Pagode Vira-lata;Dudu 7 Cordas;Pagode;
15/03/2025;SÁBADO;11;TBC;;;
16/03/2025;DOMINGO;11;Algo simples;;DJ;
18/03/2025;TERÇA;12;Caramelo Jazz Night;;Jazz;
19/03/2025;QUARTA;12;Quarta de Bamba - Breno Alves;Breno Alves;Samba;
20/03/2025;QUINTA;12;Marvin canta + DJs;Marvin;DJ;
21/03/2025;SEXTA;12;Pagode Vira-lata;Benzadeus;Pagode;
22/03/2025;SÁBADO;12;R&Baile;DJ Umiranda;DJ;
23/03/2025;DOMINGO;12;Uma Mesa e Um Pagode;12 por 8;Pagode;
24/03/2025;SEGUNDA;13;Dia D;Duzão;Pagode;
25/03/2025;TERÇA;13;Brasil x Argentina;;DJ;Jogo
26/03/2025;QUARTA;13;Quarta de Bamba;Breno Alves;Samba;
27/03/2025;QUINTA;13;Discolate;DJ Hugo Drop;DJ;
28/03/2025;SEXTA;13;Pagode Vira-lata;Tonzão;Pagode;
29/03/2025;SÁBADO;13;Perro Caliente;DJ Pequi;Cubana;
30/03/2025;DOMINGO;13;Algo simples;;DJ;
01/04/2025;TERÇA;14;Libertadores no telão;;DJ;Jogo
02/04/2025;QUARTA;14;Quarta de Bamba;Breno Alves;Samba;
03/04/2025;QUINTA;14;Quinta de abril;Benzadeus;Pagode;
04/04/2025;SEXTA;14;Pagode Vira-lata;Dudu 7 Cordas;Pagode;
05/04/2025;SÁBADO;14;MSN;DJ Tiago Jousef;DJ;
06/04/2025;DOMINGO;14;Uma mesa e um pagode;12 por 8;Pagode;
08/04/2025;TERÇA;15;Jogos de futebol;KiPecado;Pagode;Jogo
09/04/2025;QUARTA;15;Quarta de Bamba;Breno Alves;Samba;
