,,,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,1899,,,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
,,,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,2,3,4,5,6,7,7,8,9,10,11,12
,,,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,,,,,,,,,,,,,,,
,Indicadores Estratégicos,Meta,27/1/2025,3/2/2025,10/2/2025,17/2/2025,24/2/2025,3/3/2025,10/3/2025,17/3/2025,24/3/2025,31/3/2025,7/4/2025,14/4/2025,21/4/2025,28/4/2025,5/5/2025,12/5/2025,19/5/2025,26/5/2025,2/6/2025,9/6/2025,16/6/2025,23/6/2025,30/6/2025,7/7/2025,14/7/2025,,Meta Mês,,Fevereiro,Março,Abril,Maio,Junho,Julho,,,,,,
,,,02/02/2025,09/02/2025,16/02/2025,23/02/2025,02/03/2025,09/03/2025,16/03/2025,23/03/2025,30/03/2025,06/04/2025,13/04/2025,20/04/2025,27/04/2025,04/05/2025,11/05/2025,18/05/2025,25/05/2025,01/06/2025,08/06/2025,15/06/2025,22/6/2025,29/6/2025,6/7/2025,13/7/2025,20/7/2025,,,,,,,,,,,,,,,
GUARDRAIL,Faturamento Total,"R$ 222.000,00","R$ 75.314,54","R$ 75.314,54","R$ 151.226,00","R$ 180.089,45","R$ 329.574,73","R$ 241.410,95","R$ 139.217,99","R$ 238.809,44","R$ 128.591,38","R$ 242.877,71","R$ 171.070,14","R$ 282.778,87","R$ 169.775,55","R$ 221.415,99","R$ 159.472,19","R$ 147.412,36","R$ 178.423,96","R$ 188.457,06","R$ 245.583,76","R$ 210.820,40","R$ 250.704,99","R$ 219.416,91","R$ 274.440,95","R$ 306.345,54","R$ 291.813,33",,"R$ 930.000,00",,"R$ 525.761,14","R$ 968.716,05","R$ 940.171,17","R$ 758.225,94","R$ 1.004.578,16","R$ 941.632,44",,,,,,
,Faturamento Couvert,"R$ 38.000,00","R$ 0,00","R$ 11.615,00","R$ 25.990,00","R$ 32.770,00","R$ 15.250,00","R$ 8.805,00","R$ 24.840,00","R$ 36.900,00","R$ 23.430,00","R$ 46.406,32","R$ 31.700,00","R$ 59.605,29","R$ 33.377,12","R$ 41.590,66","R$ 27.999,86","R$ 20.310,00","R$ 29.949,43","R$ 28.576,50","R$ 44.084,00","R$ 40.017,00","R$ 48.681,00","R$ 45.891,00","R$ 52.780,00","R$ 52.168,00","R$ 59.289,00",,"R$ 160.000,00",,"R$ 85.625,00","R$ 173.291,32","R$ 175.931,53","R$ 127.429,95","R$ 173.723,50","R$ 162.737,00",,,,,,
,Faturamento Bar,"R$ 184.000,00","R$ 75.314,54","R$ 63.699,54","R$ 125.236,00","R$ 147.319,45","R$ 314.324,73","R$ 232.605,95","R$ 114.377,99","R$ 201.909,44","R$ 105.161,38","R$ 196.471,39","R$ 139.370,14","R$ 223.173,58","R$ 136.398,43","R$ 179.825,33","R$ 131.472,33","R$ 127.102,36","R$ 148.474,53","R$ 159.880,56","R$ 201.499,76","R$ 170.803,40","R$ 202.023,99","R$ 173.525,91","R$ 221.660,95","R$ 254.177,54","R$ 232.524,33",,"R$ 690.000,00",,"R$ 440.136,14","R$ 795.424,73","R$ 764.239,64","R$ 630.795,99","R$ 830.854,66","R$ 778.895,44",,,,,,
,Faturamento CMvível,,"R$ 74.329,88","R$ 57.449,58","R$ 113.797,14","R$ 133.811,72","R$ 305.791,70","R$ 228.863,81","R$ 104.025,59","R$ 189.163,15","R$ 95.674,93","R$ 182.705,65","R$ 126.891,06","R$ 210.325,77","R$ 127.212,29","R$ 167.099,37","R$ 122.472,03","R$ 117.295,81","R$ 139.241,46","R$ 151.209,00","R$ 190.234,27","R$ 159.475,65","R$ 186.928,90","R$ 163.455,62","R$ 205.570,77","R$ 236.606,70","R$ 215.949,49",,,,"R$ 440.136,14","R$ 795.424,73","R$ 764.239,64","R$ 630.795,99","R$ 830.854,66","R$ 778.895,44",,,,,,
,CMV R$,,"-R$ 17.237,96","R$ 12.191,16","-R$ 25.623,72","-R$ 4.802,28","-R$ 8.257,99","R$ 15.097,64","R$ 5.998,17","R$ 29.490,53","-R$ 11.415,59","R$ 21.774,60","R$ 10.889,46","-R$ 7.513,01","-R$ 15.311,59","-R$ 2.543,75","-R$ 2.724,98","-R$ 3.430,32","-R$ 5.118,60","-R$ 7.617,92","R$ 7.849,92","R$ 793,95","-R$ 12.621,71","R$ 22.027,26","-R$ 2.270,09","-R$ 175,83","R$ 9.657,42",,,,"-R$ 18.185,56","R$ 46.350,10","-R$ 151,76","-R$ 46.382,35","R$ 37.210,84","R$ 16.517,90",,,,,,
