vd_mesadesc,vd_localizacao,itm,trn,trn_desc,prefixo,tipo,tipovenda,ano,mes,trn_dtgerencial,usr_lancou,prd,prd_desc,grp_desc,loc_desc,qtd,desconto,valorfinal,custo,itm_obs,comandaorigem,itemorigem
X Bia,,1,271,,,100% desconto,,2025,2025-12,2025-12-15,Recepção,111,Pepsi Lata 350ml,Bebidas Não Alcoólicas,Bar,1,"7,95",,"2,59",,,
X Bia,,2,271,,,100% desconto,,2025,2025-12,2025-12-15,Marra,411,Parmegiana de Filé,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,"79,95",,,JA FOI,X marra,Parmegiana de Filé
X Bia,,3,271,,,100% desconto,,2025,2025-12,2025-12-15,Thaylson,620,Tabaco Selva Unidade,Pegue e Pague,Baldes,2,6,,,,,
X marra,,1,271,,,com desconto,,2025,2025-12,2025-12-15,Andreia,105,Guaraná Antártica Lata,Bebidas Não Alcoólicas,Bar,1,"2,39","5,56","2,478",,,
X marra,,2,271,,,com desconto,,2025,2025-12,2025-12-15,Andreia,114,Redbull 250ml,Bebidas Não Alcoólicas,Bar,1,"4,79","11,16","8,04",,,
X marra,,5,271,,,com desconto,,2025,2025-12,2025-12-15,Marra,114,Redbull 250ml,Bebidas Não Alcoólicas,Bar,1,"4,79","11,16","8,04",Tradicional,,
1820,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,380,[HH] Porção de Pastel de Queijo,Happy Hour,Cozinha 2,1,,"39,95",,C6,,
1820,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,378,[HH] Porção de Pastel de Carne,Happy Hour,Cozinha 2,1,,"39,95",,C6,,
1820,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,286,[HH] Frango a Passarinho,Happy Hour,Cozinha 2,1,,"54,95","15,084",C6,,
1820,,4,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,287,[HH] Croquete de Carne 8un,Happy Hour,Cozinha 2,1,,"39,95",,C6,,
1820,,5,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,558,[DD] Gin Tônica,Dose Dupla,Montados,1,,"32,95",,Tanqueray,,
1820,,6,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,106,Guaraná Zero 350mL,Bebidas Não Alcoólicas,Bar,1,,"7,95","2,055",C6|Copo com gelo|Laranja,,
1820,,7,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",Cliente Michele MesaC6|Copo com gelo|Limão espremido,,
1820,,8,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,106,Guaraná Zero 350mL,Bebidas Não Alcoólicas,Bar,1,,"7,95","2,055",Cliente Michele Mesa C6|Copo com gelo|Laranja,,
1820,,9,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,630,[DD] Dona Zica,Dose Dupla,Montados,1,,"21,95",,Mesa C6 sem os enfeites da parte de cima do copo,,
1820,,10,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,412,Isca de Frango,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"54,95",,C5,,
1820,,11,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,71,Batata Frita,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"34,95",,C5,,
