Data de competência,Tipo do lançamento,Recorrência,Descrição,Identificador do fornecedor/cliente,Nome do fornecedor/cliente,Código referência,Valor (R$),Número de parcelas,Observações,Categoria 1,Valor na Categoria 1,Centro de Custo 1,Categoria Macro,Ano,Mês,,Categs Cadastradas,Categ Macro
,,,,,,,,,,,,,,1899,12,,,
01/04/2025,,,Ambev Bonificações Contrato Anual,,,,"-R$ 19.830,56",,,Custo Bebidas,,,Custo insumos (CMV),2025,4,,Stone Crédito,Receita
01/04/2025,,,Ambev Bonificações Contrato Anual,,,,"R$ 19.830,56",,,Contratos,,Financiamento,Não Operacionais,2025,4,,Administrativo Ordinário,Despesas Administrativas
01/04/2025,,,Ambev Bonificação Contrato Cash-back Março,,,,"-R$ 9.044,00",,,Custo Bebidas,,,Custo insumos (CMV),2025,4,,Receitas de Serviços,Receita
31/03/2025,,,Ambev Bonificação Contrato Cash-back Março,,,,"R$ 9.044,00",,,Contratos,,,Não Operacionais,2025,3,,Materiais,Despesas Operacionais
01/04/2025,,,Consumo Artistas,,,,"-R$ 10.388,14",,,Produção Eventos,,,Despesas Comerciais,2025,4,,Obras,Investimentos
01/04/2025,,,Consumo Benefícios,,,,"-R$ 5.498,22",,,Marketing,,,Despesas Comerciais,2025,4,,SALARIO FUNCIONARIOS,Mão-deObra
01/04/2025,,,Consumo Sócios,,,,"-R$ 1.491,07",,,Outros Sócios,,,SÓCIOS,2025,4,,ALUGUEL/CONDOMÍNIO/IPTU,Despesas de Ocupação (Contas)
01/04/2025,,,"Consumo RH, Adm e Casa",,,,"-R$ 1.381,76",,,RECURSOS HUMANOS,,,Despesas Administrativas,2025,4,,Marketing,Despesas Comerciais
01/04/2025,,,Consumo Escritório Central,,,,,,,Escritório Central,,,Despesas Administrativas,2025,4,,Consultoria,Investimentos
01/04/2025,,,"Consumo Sócios, Benefícios, RH e Artistas",,,,"R$ 18.759,19",,,Custo Comida,,,Custo insumos (CMV),2025,4,,Outros Investimentos,Investimentos
01/04/2025,,,Variação de Estoque,,,,"R$ 6.028,43",,,Custo Comida,,,Custo insumos (CMV),2025,4,,Equipamentos,Investimentos
01/04/2025,,,Variação de Estoque,,,,"R$ 2.132,74",,,Custo Bebidas,,,Custo insumos (CMV),2025,4,,ÁGUA,Despesas de Ocupação (Contas)
01/04/2025,,,Variação de Estoque,,,,"R$ 2.105,96",,,Custo Drinks,,,Custo insumos (CMV),2025,4,,Contratos,Não Operacionais
,,,,,,,,,,,,,,1899,12,,MANUTENÇÃO,Despesas de Ocupação (Contas)
01/03/2025,,,Ambev Bonificações Contrato Anual,,,,"-R$ 60.875,92",,,Custo Bebidas,,,Custo insumos (CMV),2025,3,,Empréstimos de Sócios,Sócios
01/03/2025,,,Ambev Bonificações Contrato Anual,,,,"R$ 60.875,92",,,Contratos,,Financiamento,Não Operacionais,2025,3,,Escritório Central,Despesas Administrativas
01/03/2025,,,Ambev Bonificação Contrato Cash-back Fevereiro,,,,"-R$ 10.827,20",,,Custo Bebidas,,,Custo insumos (CMV),2025,3,,Custo Drinks,Custo insumos (CMV)
28/02/2025,,,Ambev Bonificação Contrato Cash-back Fevereiro,,,,"R$ 10.827,20",,,Contratos,,,Não Operacionais,2025,2,,INTERNET,Despesas de Ocupação (Contas)
01/03/2025,,,Consumo Artistas,,,,"-R$ 7.061,93",,,Produção Eventos,,,Despesas Comerciais,2025,3,,Outros Operação,Despesas Operacionais
01/03/2025,,,Consumo Benefícios,,,,"-R$ 5.186,49",,,Marketing,,,Despesas Comerciais,2025,3,,Materiais para Revenda,Despesas Operacionais
01/03/2025,,,Consumo Sócios,,,,"-R$ 1.216,88",,,Outros Sócios,,,SÓCIOS,2025,3,,Utensílios,Despesas Operacionais
01/03/2025,,,"Consumo RH, Adm e Casa",,,,,,,RECURSOS HUMANOS,,,Despesas Administrativas,2025,3,,VALE TRANSPORTE,Mão-deObra
01/03/2025,,,Consumo Escritório Central,,,,"-R$ 122,35",,,Escritório Central,,,Despesas Administrativas,2025,3,,ALIMENTAÇÃO,Mão-deObra
