vd_dtgerencial,dds,dia,hora,qtd,valor
2025-01-31,6,Friday,18:00,4,"90,85"
2025-01-31,6,Friday,19:00,14,"448,39"
2025-01-31,6,Friday,20:00,25,"528,11"
2025-01-31,6,Friday,21:00,18,"513,71"
2025-01-31,6,Friday,22:00,10,"284,45"
2025-01-31,6,Friday,23:00,8,"159,8"
2025-02-01,7,Saturday,18:00,7,"166,75"
2025-02-01,7,Saturday,19:00,88,"2178,5"
2025-02-01,7,Saturday,20:00,119,"2817,82"
2025-02-01,7,Saturday,21:00,98,"2127,47"
2025-02-01,7,Saturday,22:00,71,"1511,22"
2025-02-01,7,Saturday,23:00,48,"1032,87"
2025-02-01,7,Saturday,24:00:00,18,"317,56"
2025-02-01,7,Saturday,25:00:00,3,"19,84"
2025-02-03,2,Monday,14:00,1,"7,95"
2025-02-03,2,Monday,15:00,-1,"-7,95"
2025-02-04,3,Tuesday,17:00,18,"261,23"
2025-02-04,3,Tuesday,18:00,-12,"-149,4"
2025-02-04,3,Tuesday,19:00,38,"900,1"
2025-02-04,3,Tuesday,20:00,53,"1293,35"
2025-02-04,3,Tuesday,21:00,43,"1015,85"
2025-02-04,3,Tuesday,22:00,43,"1121,9"
2025-02-04,3,Tuesday,23:00,15,"346,25"
2025-02-04,3,Tuesday,24:00:00,1,"17,95"
2025-02-05,4,Wednesday,13:00,1,"17,95"
2025-02-05,4,Wednesday,14:00,3,"72,85"
2025-02-05,4,Wednesday,15:00,-4,"-90,8"
2025-02-05,4,Wednesday,16:00,1,
2025-02-05,4,Wednesday,18:00,3,"13,95"
2025-02-05,4,Wednesday,19:00,43,"639,37"
2025-02-05,4,Wednesday,20:00,135,"2366,42"
2025-02-05,4,Wednesday,21:00,137,"2466,94"
2025-02-05,4,Wednesday,22:00,104,"1576,79"
2025-02-05,4,Wednesday,23:00,80,"1444,85"
2025-02-05,4,Wednesday,24:00:00,44,"634,87"
2025-02-05,4,Wednesday,25:00:00,28,"566,65"
2025-02-05,4,Wednesday,26:00:00,-2,"-35,9"
2025-02-06,5,Thursday,18:00,3,"27,85"
2025-02-06,5,Thursday,19:00,47,"1026,97"
2025-02-06,5,Thursday,20:00,59,"1396,22"
2025-02-06,5,Thursday,21:00,64,"1399,1"
2025-02-06,5,Thursday,22:00,36,"456,53"
2025-02-06,5,Thursday,23:00,7,"77,26"
2025-02-06,5,Thursday,24:00:00,8,"-128,1"
2025-02-06,5,Thursday,25:00:00,-1,"-13,95"
2025-02-07,6,Friday,17:00,12,"143,6"
2025-02-07,6,Friday,18:00,43,"1396,03"
2025-02-07,6,Friday,19:00,41,"1266,95"
2025-02-07,6,Friday,20:00,98,"2341,64"
2025-02-07,6,Friday,21:00,218,"5677,7"
2025-02-07,6,Friday,22:00,178,"3824,35"
2025-02-07,6,Friday,23:00,178,"3586,06"
2025-02-07,6,Friday,24:00:00,144,"2770,27"
2025-02-07,6,Friday,25:00:00,101,"1705,39"
2025-02-07,6,Friday,26:00:00,23,"364,46"
2025-02-07,6,Friday,28:00:00,-36,"-685,2"
2025-02-08,7,Saturday,16:00,9,"171,89"
2025-02-08,7,Saturday,17:00,36,"769,52"
2025-02-08,7,Saturday,18:00,62,"1234,66"
2025-02-08,7,Saturday,19:00,82,"1389,92"
2025-02-08,7,Saturday,20:00,109,"2083,57"
2025-02-08,7,Saturday,21:00,163,"3544,29"
2025-02-08,7,Saturday,22:00,164,"3258,8"
2025-02-08,7,Saturday,23:00,128,"2612,37"
2025-02-08,7,Saturday,24:00:00,64,"1129,38"
2025-02-08,7,Saturday,25:00:00,43,"550,11"
2025-02-08,7,Saturday,26:00:00,32,"498,8"
2025-02-08,7,Saturday,27:00:00,1,"-74,85"
2025-02-11,3,Tuesday,18:00,1,"17,95"
2025-02-11,3,Tuesday,19:00,9,"146,7"
2025-02-11,3,Tuesday,20:00,2,"33,9"
2025-02-11,3,Tuesday,41:00:00,26,"467,55"
2025-02-11,3,Tuesday,42:00:00,75,"1559,51"
2025-02-11,3,Tuesday,43:00:00,111,2672
2025-02-11,3,Tuesday,44:00:00,175,"4320,49"
2025-02-11,3,Tuesday,45:00:00,191,"4465,35"
2025-02-11,3,Tuesday,46:00:00,183,"3308,66"
2025-02-11,3,Tuesday,47:00:00,218,"4009,84"
2025-02-11,3,Tuesday,48:00:00,153,"2479,38"
2025-02-11,3,Tuesday,49:00:00,108,"1392,92"
2025-02-11,3,Tuesday,50:00:00,15,"51,72"
2025-02-11,3,Tuesday,51:00:00,-22,"-530,9"
2025-02-11,3,Tuesday,52:00:00,-32,"-653,25"
2025-02-13,5,Thursday,-02:00:00,172,"95,8"
2025-02-13,5,Thursday,17:00,3,"82,85"
2025-02-13,5,Thursday,18:00,21,"398,95"
2025-02-13,5,Thursday,19:00,79,"1881,95"
2025-02-13,5,Thursday,20:00,71,"1555,26"
2025-02-13,5,Thursday,21:00,74,"1798,4"
2025-02-13,5,Thursday,22:00,23,"372,94"
2025-02-13,5,Thursday,23:00,35,"434,71"
2025-02-13,5,Thursday,24:00:00,8,"90,4"
2025-02-13,5,Thursday,25:00:00,-8,"-156,6"
2025-02-14,6,Friday,16:00,15,"355,25"
2025-02-14,6,Friday,17:00,58,"1345,89"
2025-02-14,6,Friday,18:00,141,"2999,51"
2025-02-14,6,Friday,19:00,249,"5658,21"
2025-02-14,6,Friday,20:00,253,"6741,77"
2025-02-14,6,Friday,21:00,277,"6838,46"
2025-02-14,6,Friday,22:00,257,"4987,48"
2025-02-14,6,Friday,23:00,209,"3122,9"
2025-02-14,6,Friday,24:00:00,163,"2565,93"
2025-02-14,6,Friday,25:00:00,101,"1659,31"
2025-02-14,6,Friday,26:00:00,34,"593,07"
2025-02-14,6,Friday,27:00:00,3,"39,85"
2025-02-14,6,Friday,28:00:00,-45,"-1053,65"
2025-02-15,7,Saturday,16:00,33,"773,28"
2025-02-15,7,Saturday,17:00,81,"1629,61"
2025-02-15,7,Saturday,18:00,203,"3916,74"
2025-02-15,7,Saturday,19:00,304,"5632,97"
2025-02-15,7,Saturday,20:00,358,"7224,27"
2025-02-15,7,Saturday,21:00,438,"7511,88"
2025-02-15,7,Saturday,22:00,280,"5128,29"
2025-02-15,7,Saturday,23:00,301,"5637,34"
2025-02-15,7,Saturday,24:00:00,169,"3118,17"
2025-02-15,7,Saturday,25:00:00,83,"1584,05"
2025-02-15,7,Saturday,26:00:00,55,"1244,61"
2025-02-15,7,Saturday,27:00:00,14,"212,3"
2025-02-15,7,Saturday,28:00:00,-86,"-1544,6"
2025-02-16,1,Sunday,16:00,5,"71,8"
2025-02-16,1,Sunday,17:00,43,"984,87"
2025-02-16,1,Sunday,18:00,108,"2045,26"
2025-02-16,1,Sunday,19:00,133,"2280,35"
2025-02-16,1,Sunday,20:00,134,"1648,77"
2025-02-16,1,Sunday,21:00,91,"1510,1"
2025-02-16,1,Sunday,22:00,20,"316,21"
2025-02-16,1,Sunday,23:00,12,"511,27"
2025-02-16,1,Sunday,24:00:00,7,"36,6"
2025-02-16,1,Sunday,25:00:00,-15,"-270,25"
2025-02-18,3,Tuesday,17:00,1,"17,95"
2025-02-18,3,Tuesday,18:00,15,"300,45"
2025-02-18,3,Tuesday,19:00,32,"514,55"
2025-02-18,3,Tuesday,20:00,32,"419,37"
2025-02-18,3,Tuesday,21:00,50,"789,45"
2025-02-18,3,Tuesday,22:00,39,"747,68"
2025-02-18,3,Tuesday,23:00,26,"266,35"
2025-02-18,3,Tuesday,24:00:00,3,"27,9"
