CodProduto	Produto	CodInsumo	INSUMO	QUANTIDADE RECEITA	QTDE REND
pc0005	Frango a Passarinho preparo	i0123	Frango a passarinho	1000	1116
pc0005	Frango a Passarinho preparo	i0149	Pimenta do reino	3	3
pc0005	Frango a Passarinho preparo	i0092	Alho descascado	50	50
pc0005	Frango a Passarinho preparo	i0158	Sal Refinado 1kg	12	12
pc0005	Frango a Passarinho preparo	i0168	Vinagre de álcool	10	10
pc0072		i0092	Alho descascado	20	20
pc0072		pc0073	Batata Cozida	200	200
pc0072		i0138	Óleo de soja	20	20
pc0072		i0138	Óleo de Soja	50	50
pc0072		i0168	Vinagre de Álcool	15	15
pc0009	Base bechamel	i0133	Manteiga Barra kg	100	100
pc0009	Base bechamel	i0126	Leite 1L Integral	1000	1000
pc0009	Base bechamel	i0119	Farinha de trigo 1kg	100	100
pc0009	Base bechamel	i0079	Noz moscada	1	1
pc0067	Batata Chips Artesanal	i0221	Batata Inglesa	1000	1000
pc0067	Batata Chips Artesanal	i0240	Óleo de Algodão 15L	25	25
pc0073	Batata Cozida	i0221	Batata Inglesa	1000	1000
pc0020	Bolinho escondidinho	i0158	Sal Refinado 1kg	20	20
pc0020	Bolinho escondidinho	pc0019	Carne Seca Desfiada Escondidinho	1000	1000
pc0020	Bolinho escondidinho	pc0018	Mandioca cozida	750	750
pc0020	Bolinho escondidinho	i0134	Manteiga de garrafa	50	50
pc0020	Bolinho escondidinho	i0111	Cebola Nacional	100	100
pc0020	Bolinho escondidinho	i0149	Pimenta do Reino	25	25
pc0020	Bolinho escondidinho	i0047	Pimenta Dedo de Moça	15	15
pc0020	Bolinho escondidinho	i0454	Pimenta de Cheiro	25	25
pc0020	Bolinho escondidinho	i0035	Coentro	0,5	1
pc0020	Bolinho escondidinho	i0092	Alho descascado	13	13
pc0020	Bolinho escondidinho	i0120	Farinha panko	100	100
pc0020	Bolinho escondidinho	i0139	Ovo Branco 	6	6
pc0020	Bolinho escondidinho	i0119	Farinha de trigo 1kg	100	100
pc0057	Calda de Caramelo	i0059	Açúcar	300	300
pc0057	Calda de Caramelo	i0210	Água da Casa	100	100
pc0032	Caldinho de feijão	i0158	Sal Refinado 1kg	26	26
pc0032	Caldinho de feijão	i0121	Feijão preto	1000	1000
pc0032	Caldinho de feijão	i0111	Cebola Nacional	150	150
pc0032	Caldinho de feijão	i0112	Cebola em pó	30	30
pc0032	Caldinho de feijão	i0149	Pimenta do reino	1	1
pc0032	Caldinho de feijão	i0071	Folha de Louro	1	1
pc0032	Caldinho de feijão	i0092	Alho descascado	20	20
pc0032	Caldinho de feijão	i0210	Água da Casa	2500	2500
pc0023	Carne de panela	i0138	Óleo de soja	4	4
pc0023	Carne de panela	i0159	Salsão	0,04	0
pc0023	Carne de panela	i0158	Sal Refinado 1kg	5,75	6
pc0023	Carne de panela	i0115	Coxão duro	1.000	1145
pc0023	Carne de panela	i0223	Vinho Tinto Seco 4,5L	160	160
pc0023	Carne de panela	i0101	Bacon	40	44
pc0023	Carne de panela	i0160	Salsinha	0,12	0
pc0023	Carne de panela	i0111	Cebola Nacional	60	67
pc0023	Carne de panela	i0149	Pimenta do reino	1,2	1
pc0023	Carne de panela	i0071	Folha de Louro	0,25	0
pc0023	Carne de panela	i0092	Alho descascado	8	8
pc0023	Carne de panela	i0210	Água da Casa	100	100
pc0065	Carne Moída p/ Recheio	i0092	Alho descascado	50	50
pc0065	Carne Moída p/ Recheio	i0455	Carne moída (Acem)	1000	1000
pc0065	Carne Moída p/ Recheio	i0111	Cebola Nacional	160	160
pc0065	Carne Moída p/ Recheio	i0043	Limão Tahiti 	43	43
pc0065	Carne Moída p/ Recheio	i0150	Pimenta do reino em grão	33	33
pc0065	Carne Moída p/ Recheio	i0047	Pimenta Dedo de Moça	33	33
pc0019	Carne Seca Desfiada Escondidinho	i0109	Carne seca (Charque)	1000	1000
pc0019	Carne Seca Desfiada Escondidinho	i0071	Folha de Louro	0,2	0
pc0019	Carne Seca Desfiada Escondidinho	i0210	Água da Casa	600	600
pc0085	Chimichurri	i0522	Pimentão Vermelho kg	1000	1000
pc0085	Chimichurri	i0521	Pimentão Amarelo kg	1000	1000
pc0085	Chimichurri	i0165	Tomate Extra	1000	1000
pc0085	Chimichurri	i0113	Cebola Roxa	4	4
pc0085	Chimichurri	i0161	Salsa	0,2	0
pc0085	Chimichurri	i0158	Sal Refinado 1kg	40	40
pc0085	Chimichurri	i0292	Orégano kg	20	20
pc0085	Chimichurri	i0258	Páprica Defumada kg	20	20
pc0085	Chimichurri	i0100	Azeite Extr. Virgem 5L	720	720
pc0076	Copa Lombo Desfiado	i0097	Alho em pó	10	10
pc0076	Copa Lombo Desfiado	i0266	Copa Lombo	1.000	1000
pc0076	Copa Lombo Desfiado	i0112	Cebola em pó	10	10
pc0076	Copa Lombo Desfiado	i0258	Páprica defumada kg	20	20
pc0053	Coxinha	pc0033	Massa de coxinha	1000	1000
pc0053	Coxinha	i0459	Requeijão Cremoso 1,5kg	143	143
pc0053	Coxinha	pc0036	Recheio para coxinha	286	286
pc0053	Coxinha	i0120	farinha panko	71	71
pc0053	Coxinha	i0210	Água da Casa	0	0
pc0053	Coxinha	i0139	Ovo Branco 	3	3
pc0024	Croquete de carne com catupiry	pc0078	Massa Croquete	1000	1000
pc0024	Croquete de carne com catupiry	i0459	Requeijão Cremoso 1,5kg	78	78
pc0024	Croquete de carne com catupiry	i0120	Farinha Panko	107	107
pc0024	Croquete de carne com catupiry	i0139	Ovo Branco 	2,3	2
pc0024	Croquete de carne com catupiry	i0119	Farinha de trigo 1kg	77	77
pc0025	Dadinho de tapioca	i0153	Queijo coalho	1200	1200
pc0025	Dadinho de tapioca	i0156	Queijo Mussarela	300	300
pc0025	Dadinho de tapioca	i0163	Tapioca granulada	1000	1000
pc0025	Dadinho de tapioca	i0126	Leite 1L Integral	2000	2000
pc0038	Disco de carne	i0455	Carne moída (Acem)	1000	1000
