CH_Pagamentos,,,,,CH_Períodos,,,,,,,,CH_Analitico,,,,,,,,CH_Tempo,,,,,,,
Mês,Semana,dt_gerencial,liquido,meio,Mês,Ano,dt_gerencial,Semana,pessoas,vr_pagamentos,vr_repique,vr_couvert,Mês,Ano,vd_dtgerencial,Semana,valorfinal,grp_desc,loc_desc,Categoria,Mês,Ano,#REF!,Semana,#REF!,#REF!,#REF!,Categ
12,49,01/12/2025,"R$ 62,55",Credito Auto,12,2025,01/12/2025,49,1,"62,55","6,7",,12,2025,01/12/2025,49,"R$ 13,95",Pratos Individuais,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 52,42",Credito Auto,12,2025,01/12/2025,49,1,"52,42","5,62",,12,2025,01/12/2025,49,"R$ 33,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 36,90",Credito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 15,62",Debito Auto,12,2025,01/12/2025,49,1,"36,9","3,95",,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 106,02",Credito Auto,12,2025,01/12/2025,49,1,"15,62","1,67",,12,2025,01/12/2025,49,"R$ 16,95",Pratos Individuais,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 128,36",Debito Auto,12,2025,01/12/2025,49,1,"106,02","9,22",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 134,02",Credito Auto,12,2025,01/12/2025,49,1,"128,36","11,61",20,12,2025,01/12/2025,49,"R$ 13,95",Pratos Individuais,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 69,33",Credito Auto,12,2025,01/12/2025,49,1,"134,02","12,22",20,12,2025,01/12/2025,49,"R$ 32,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 219,98",Debito Auto,12,2025,01/12/2025,49,1,"69,33","7,43",,12,2025,01/12/2025,49,"R$ 13,95",Pratos Individuais,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 136,09",Credito Auto,12,2025,01/12/2025,49,1,"219,98","21,43",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 240,09",Credito Auto,12,2025,01/12/2025,49,1,"136,09","12,44",20,12,2025,01/12/2025,49,"R$ 33,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 109,38",Credito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 56,95",Debito Auto,12,2025,01/12/2025,49,2,"240,09","21,44",40,12,2025,01/12/2025,49,"R$ 26,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 117,16",Credito Auto,12,2025,01/12/2025,49,1,"109,38","9,58",20,12,2025,01/12/2025,49,"R$ 26,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
